职位名称,工资,城市,出勤要求,实习周期,职位福利,公司名称,所属行业,公司规模,投递链接,省份
数据分析实习生,229.17,北京,5天/周,6个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_9dazpnren3sc?pcm=pc_SearchList,北京
数据分析实习生,112.5,西安,5天/周,6个月,优秀的团队，技术，留用转正机会,亚信科技,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_dwzqjkantymr?pcm=pc_SearchList,陕西
SFE数据实习生,187.5,上海,3天/周,5个月,美国，扁平化，实习证明，有趣的同事，离地铁站近，工作气氛好，免费零食茶饮，业界知名，成长空间,QuidelOrtho,医疗/健康/制药/生物,500-2000人,https://www.shixiseng.com/intern/inn_4a90zjkfta2r?pcm=pc_SearchList,上海
数据运营实习生,137.5,杭州,5天/周,6个月,双休 一金，社保& 双休,青塔科技,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_oexrp5sr0mbb?pcm=pc_SearchList,浙江
数据分析实习生,30.0,北京,5天/周,6个月,国际视野，结果导向，高新技术企业，薪资福利高，自由度高，混合办公,群智咨询,企业服务/咨询,15-50人,https://www.shixiseng.com/intern/inn_buxkejwxnrxf?pcm=pc_SearchList,北京
数据运营实习生,30.0,上海,5天/周,3个月,潮流，能力优先，发展机遇，快速成长,得物App,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_bwnl9vp8ooqe?pcm=pc_SearchList,上海
数据分析实习生,208.33,上海,4天/周,3个月,有补助，节假日生日福利，靠能力吃饭，优秀的团队，弹性工作，免费下午茶，外滩工作,众安保险,金融/经济/投资/财会,2000人以上,https://www.shixiseng.com/intern/inn_jnl6hthjp2q6?pcm=pc_SearchList,上海
数据分析实习生,229.17,北京,5天/周,3个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_i2lkoivyr7yt?pcm=pc_SearchList,北京
数据标注实习生,5.0,北京,5天/周,3个月,氛围和善，90后的天下，穿着自由，完善培训，团队活动多，导师培养,易点云,企业服务/咨询,500-2000人,https://www.shixiseng.com/intern/inn_4upmpcxycbu6?pcm=pc_SearchList,北京
数据分析实习生,137.5,广州,3天/周,3个月,学习空间大，年轻化，社会责任心，定期活动，帅哥美女多，能学到干货，能力优先，氛围棒棒哒，有吃喝有梦想,天普药业,医疗/健康/制药/生物,500-2000人,https://www.shixiseng.com/intern/inn_8nhtxb6gsdwf?pcm=pc_SearchList,广东
数据分析实习生,187.5,广州,5天/周,6个月,快时尚，跨境电商，去中心化，互联网,SHEIN,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_f6ijhavjczg3?pcm=pc_SearchList,广东
数据运营实习生,104.17,成都,5天/周,3个月,用户体验，轻松自由，自我提升，咨询，大家庭氛围，锻炼能力,同道猎聘集团,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_1abhufyrpi64?pcm=pc_SearchList,四川
数据采集实习生,5.0,北京,3天/周,3个月,有午餐补贴，学习氛围好，职前培训,执中,金融/经济/投资/财会,15-50人,https://www.shixiseng.com/intern/inn_q6d75bdn9ufk?pcm=pc_SearchList,北京
数据分析实习生,187.5,上海,4天/周,3个月,二次元，新兴文化代表，lo娘，猫房，特♂色社团，氛围爆好，有发展前景，技术牛人多，舒适的办公环境，发展好,哔哩哔哩,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_hwzcour1ouwu?pcm=pc_SearchList,上海
数据分析实习生,145.83,金华,5天/周,4个月,团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良,NIO蔚来,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_lp6gz0xfvvnr?pcm=pc_SearchList,浙江
数据分析实习生,133.33,北京,5天/周,3个月,IT技术交流,CSDN,互联网/游戏/软件,150-500人,https://www.shixiseng.com/intern/inn_esrk0lubfocg?pcm=pc_SearchList,北京
数据标注实习生,137.5,上海,5天/周,3个月,靠谱创业团队，节日生日礼物，餐饮补助，发展机会多，早十晚七，工作氛围优良,鉴智机器人,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_0danhwefkwem?pcm=pc_SearchList,上海
数据采集实习生,137.5,杭州,5天/周,6个月,靠谱创业团队，节日生日礼物，餐饮补助，发展机会多，早十晚七，工作氛围优良,鉴智机器人,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_pj3exzr0jlc6?pcm=pc_SearchList,浙江
数据采集实习生,137.5,北京,5天/周,6个月,靠谱创业团队，节日生日礼物，餐饮补助，发展机会多，早十晚七，工作氛围优良,鉴智机器人,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_ikdww6aoimdw?pcm=pc_SearchList,北京
数据分析实习生,229.17,北京,5天/周,3个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_tuqa8jkckbh1?pcm=pc_SearchList,北京
数据收集整理实习生,125.0,北京,3天/周,1个月,朝九晚五，专业指导，高效办公，公司内部培训,中和明讯,金融/经济/投资/财会,少于15人,https://www.shixiseng.com/intern/inn_drewrxddyjr9?pcm=pc_SearchList,北京
数据开发实习生,145.83,成都,4天/周,3个月,500强，外资企业，六险一金，福利优厚,友邦资讯科技,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_ttghgvnizcfr?pcm=pc_SearchList,四川
数据分析实习生,75.0,成都,4天/周,4个月,工作轻松自由，杂志随便看，研究公司，有意义，锻炼人，地铁边，文化开放，能学习，爱上一座城，恋上一个家，精英多,西南财经大学家庭金融中心,金融/经济/投资/财会,50-150人,https://www.shixiseng.com/intern/inn_f6tbvkbdtr5h?pcm=pc_SearchList,四川
数据实习生（数仓）,187.5,北京,4天/周,6个月,互联网精神，发展好，大公司,敦煌网,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_3rgwmxldr19a?pcm=pc_SearchList,北京
数据分析实习生,104.17,北京,5天/周,3个月,大牛带，学到东西，见明星，大平台，免费食堂，工作环境优美,网易,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_zadpytlwxhhw?pcm=pc_SearchList,北京
数据分析实习生,166.67,杭州,4天/周,3个月,技术服务，可留用,众安科技,企业服务/咨询,2000人以上,https://www.shixiseng.com/intern/inn_zr9dfr1jg9hp?pcm=pc_SearchList,浙江
数据开发工程师,250.0,北京,5天/周,3个月,锻炼自我，专业、活力、创造，nice氛围，创新，福利，1对1导师制,京东,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_bld2sqb6qeab?pcm=pc_SearchList,北京
数据开发实习生,104.17,重庆,5天/周,6个月,优秀的团队，技术，留用转正机会,亚信科技,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_g1nhuok8nejl?pcm=pc_SearchList,重庆
数据分析实习生,137.5,苏州,5天/周,6个月,物联网，人工智能，大数据，软件开发，嵌入式，云服务,博世中国,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_i5tkclnblni3?pcm=pc_SearchList,江苏
数据分析实习生,125.0,杭州,5天/周,6个月,物联网，人工智能，大数据，软件开发，嵌入式，云服务,博世中国,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_6jgsvqnca9vm?pcm=pc_SearchList,浙江
数据挖掘实习生,125.0,成都,5天/周,6个月,优秀的团队，技术，留用转正机会,亚信科技,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_ni6zhx0riice?pcm=pc_SearchList,四川
数据分析实习生,291.67,上海,5天/周,3个月,年轻、活力，发展前景，有吃喝有梦想，留用,明崚投资,金融/经济/投资/财会,15-50人,https://www.shixiseng.com/intern/inn_vl6pdzcm81h9?pcm=pc_SearchList,上海
数据科学实习生,179.17,上海,4天/周,3个月,弹性工作＆迟到豁免，餐饮补贴＆免费水果，丰厚年终奖＆期权激励，节日福利＆团建基金，年陈福利，内部购买，游戏室＆按摩椅＆淋浴房＆24H直播间，明星大咖出没，音频独角兽,喜马拉雅,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_zwmeyx0nqnus?pcm=pc_SearchList,上海
金融数据分析师,137.5,北京,3天/周,3个月,极度扁平化，团队优异，充足零食预算,国科嘉和,金融/经济/投资/财会,15-50人,https://www.shixiseng.com/intern/inn_hwpnjeyuniu2?pcm=pc_SearchList,北京
数据分析实习生,145.83,北京,4天/周,4个月,好发展前景，畅享小食，待遇高,博雅数智,教育/培训,15-50人,https://www.shixiseng.com/intern/inn_g9syjepdwb47?pcm=pc_SearchList,北京
数据产品实习生,35.0,北京,4天/周,3个月,环境优越，团队牛，有吃喝有梦想，互联网招聘,小红书,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_2gljp4f4mqew?pcm=pc_SearchList,北京
数据分析实习生,179.17,北京,4天/周,3个月,用户体验，轻松自由，自我提升，咨询，大家庭氛围，锻炼能力,同道猎聘集团,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_mdw51f8g3xl4?pcm=pc_SearchList,北京
数据处理实习生,75.0,合肥,5天/周,3个月,有梦想，锻炼自我，交通生活方便，福利体检，扁平管理，学习内容多,科大讯飞,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_5dei1mhcl0pr?pcm=pc_SearchList,安徽
数据标注实习生,137.5,北京,5天/周,3个月,实习工资，福利，有发展前景，90后居多，活力& 创新，团队协作,北京金山办公软件股份有限公司,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_kd1ww6lxtusq?pcm=pc_SearchList,北京
总部数据实习生,158.33,上海,3天/周,3个月,弹性工作，发展平台，毕业可转正,优衣库,快消/百货/批发/零售,2000人以上,https://www.shixiseng.com/intern/inn_yjpfcu2ww20c?pcm=pc_SearchList,上海
数据分析实习生,104.17,深圳,5天/周,6个月,提供住宿，团队年轻化，医疗器械，活力强，待遇高，培训，合作范,理邦精密仪器,医疗/健康/制药/生物,500-2000人,https://www.shixiseng.com/intern/inn_3gwhwmxozpgc?pcm=pc_SearchList,广东
数据运营实习生,145.83,北京,5天/周,6个月,行业前景好，移动互联，医疗健康,水滴公司,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_1koei7rhaotf?pcm=pc_SearchList,北京
数据分析岗（实习生）,45.0,北京,5天/周,3个月,学习机会多多，接收应届生，成长，国企 央企，精英共事，行业革新者,中邮普泰,交通/贸易/物流,150-500人,https://www.shixiseng.com/intern/inn_fb6okkwkkisq?pcm=pc_SearchList,北京
数据运营实习生,125.0,北京,5天/周,6个月,免费午餐，免费下午茶，免费健身房，有情怀，节假日生日福利,墨迹天气,互联网/游戏/软件,150-500人,https://www.shixiseng.com/intern/inn_am4a0iijtzag?pcm=pc_SearchList,北京
数据分析师23SXLH17,112.5,北京,5天/周,2个月,专家导师，专业管理双通，量身定制成长，办公环境一流，学习资源丰富，广阔发展平台,中国信息通信研究院,电子/通信/硬件,2000人以上,https://www.shixiseng.com/intern/inn_o6j5vxc5itri?pcm=pc_SearchList,北京
数据分析实习,125.0,北京,5天/周,3个月,大牛团队,动次科技,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_j9wx3rg0ggrd?pcm=pc_SearchList,北京
数据分析实习生,145.83,北京,5天/周,3个月,六险一金，健身房，大拿俱乐部,途家网,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_rahlpbnhwwx9?pcm=pc_SearchList,北京
数据分析实习生,145.83,上海,4天/周,3个月,良好团队氛围，混合办公，带薪年假，定期培训，轮岗转岗机会，五险一金,携程集团,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_kvd8qt5wqa4n?pcm=pc_SearchList,上海
营销数据分析师,30.0,北京,5天/周,3个月,活力&创新，参与感，团队氛围超赞，年轻团队模式，人才培养计划，期权股权,远禾科技,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_tbzurjoiz4pt?pcm=pc_SearchList,北京
数据产品实习生,270.83,北京,5天/周,3个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_sdzkixeidzbi?pcm=pc_SearchList,北京
数据产品运营,179.17,北京,5天/周,3个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_hhtxg1buznsm?pcm=pc_SearchList,北京
数据分析实习生,112.5,上海,3天/周,4个月,五星办公环境，150年历史,拜耳,医疗/健康/制药/生物,2000人以上,https://www.shixiseng.com/intern/inn_av9g5jhin0y2?pcm=pc_SearchList,上海
数据分析实习生,30.0,上海,5天/周,6个月,合资企业，人寿保险，完善晋升体制，外企福利好，发展机会多，团队氛围好,中宏保险,金融/经济/投资/财会,2000人以上,https://www.shixiseng.com/intern/inn_sofkgyzrwcc0?pcm=pc_SearchList,上海
数据标选实习生,137.5,苏州,5天/周,5个月,物联网，人工智能，大数据，软件开发，嵌入式，云服务,博世中国,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_mafauyqba3g7?pcm=pc_SearchList,江苏
数据审核员实习生,104.17,上海,5天/周,2个月,工作氛围极好，优秀可转正，氛围和谐愉快，实习，办公环境优美,熙数科技,互联网/游戏/软件,少于15人,https://www.shixiseng.com/intern/inn_3onzpi6duza2?pcm=pc_SearchList,上海
数据处理实习生,125.0,广州,3天/周,6个月,晋升机会大，点心水果，开放创新，广告，团建培训，氛围自由，氛围好，同事关系好,星尘广告,广告/传媒/公关/展览,50-150人,https://www.shixiseng.com/intern/inn_nhgzpx7eqvgl?pcm=pc_SearchList,广东
数据分析实习生,137.5,上海,5天/周,3个月,弹性工作＆迟到豁免，餐饮补贴＆免费水果，丰厚年终奖＆期权激励，节日福利＆团建基金，年陈福利，内部购买，游戏室＆按摩椅＆淋浴房＆24H直播间，明星大咖出没，音频独角兽,喜马拉雅,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_jixu66wvadm6?pcm=pc_SearchList,上海
数据标注实习生,83.33,合肥,5天/周,3个月,有梦想，锻炼自我，交通生活方便，福利体检，扁平管理，学习内容多,科大讯飞,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_idbchbc9tdzw?pcm=pc_SearchList,安徽
数据分析实习生,187.5,上海,4天/周,3个月,薪资无上限，晋升空间，潜力人，零食多，高福利，温馨，内部培训,哈啰,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_j1acp8nbln0m?pcm=pc_SearchList,上海
数据分析实习生,145.83,上海,5天/周,3个月,潮流，能力优先，发展机遇，快速成长,得物App,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_7bwlbnqvubgk?pcm=pc_SearchList,上海
数据分析实习生,137.5,南京,5天/周,6个月,物联网，人工智能，大数据，软件开发，嵌入式，云服务,博世中国,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_yflndvu6awu6?pcm=pc_SearchList,江苏
前端数据开发,208.33,深圳,5天/周,3个月,后端开发，公司氛围好，福利多多，实习生待遇好，满满实习干货,蓬莱数存,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_nhuhlq1udjro?pcm=pc_SearchList,广东
数据运营实习生,30.0,上海,5天/周,3个月,薪资无上限，晋升空间，潜力人，零食多，高福利，温馨，内部培训,哈啰,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_jirepriqzikz?pcm=pc_SearchList,上海
